KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
CIB,DU_NO,53212,CHO VAY DAU TU TSCD VA DU AN,CHO VAY MUA PHUONG TIEN VAN TAI,"CHO VAY MUA TAU BAY, TAU THUY",CHO VAY TDH DAU TU TSCD THONG THUONG,,Cho vay mua phương tiện vận tải,"Cho vay mua tàu bay, tàu thủy",Cho vay TDH đầu tư TSCĐ thông thường,2021-01-01 00:00:00.0000000,,,
TCKT,,61171,BAO HIEM,,,,Bảo hiểm,MBAL,Mô hình IC/IRM MBAL 10,Mô hình IC/IRM MBAL 10,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,53212,CHO VAY DAU TU TSCD VA DU AN,CHO VAY MUA PHUONG TIEN VAN TAI,"CHO VAY MUA TAU BAY, TAU THUY",CHO VAY TDH DAU TU TSCD THONG THUONG,Cho vay đầu tư TSCĐ và dự án,Cho vay mua phương tiện vận tải,"Cho vay mua tàu bay, tàu thủy",Cho vay TDH đầu tư TSCĐ thông thường,2021-01-01 00:00:00.0000000,,,
TCKT,,12121,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tien gui CKH/Tiet kiem tra lai cuoi ky (qua App MBB) SP SO,2023-07-26 00:00:00.0000000,,,
CIB,HUY_DONG,12121,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY (QUA APP MBB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua app MBB) SP SO,2021-01-01 00:00:00.0000000,,,
NHS,HDV&TT,12121,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY  (QUA APP MBB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ  (qua eMB) SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,NHS,TKTK/TGCKH
SME,HUY_DONG,12121,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI CKH/TIET KIEM TRA LAI CUOI KY (QUA APP MBB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua app MBB) SP SO,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,52311,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,"CHO VAY DONG TAI TRO, UY THAC NGAN HAN (MB DAU MOI)",,Cho vay đồng tài trợ,Cho vay đồng tài trợ,"Cho vay đồng tài trợ, ủy thác ngắn hạn (MB đầu mối)",2021-01-01 00:00:00.0000000,,,
TCKT,,131111,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn SP SO (NHS trả),Tiền gửi CKH/Tiết kiệm số (qua kênh eMB) NHS tra,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,52311,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,"CHO VAY DONG TAI TRO, UY THAC NGAN HAN (MB DAU MOI)",Cho vay đồng tài trợ,Cho vay đồng tài trợ,Cho vay đồng tài trợ,"Cho vay đồng tài trợ, ủy thác ngắn hạn (MB đầu mối)",2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,12121,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua app MBB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi CKH/Tiết kiệm trả lãi cuối kỳ (qua app MBB) SP SO,2021-01-01 00:00:00.0000000,,,
TCKT,,16513,KIEU HOI,,,,Kiều hối,DS Chiều về ,Chi trả vào tài khoản,Chi trả vào tài khoản,2023-07-26 00:00:00.0000000,,,
TCKT,,12313,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiết kiệm trung niên,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,26114,CV THE TD,CHO VAY THE TIN DUNG DANH CHO KHCN,CHO VAY THE TIN DUNG QUOC TE DANH CHO KHCN,CHO VAY THE TIN DUNG DA NANG HYBRID,Cho vay thẻ tín dụng,Cho vay thẻ tín dụng dành cho KHCN,Cho vay thẻ tín dụng quốc tế dành cho KHCN,Cho vay thẻ tín dụng đa năng Hybrid,2022-03-09 00:00:00.0000000,CV THE VISA,NHS,CV THE TD
TOAN_HANG,,12313,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm trung niên,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm trung niên,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,12313,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM TRUNG NIEN,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm trung niên,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TOAN_HANG,,11311,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản chuyên dùng,Tài khoản chuyên dùng dịch vụ công,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản chuyên dùng,Tài khoản chuyên dùng dịch vụ công,2021-01-01 00:00:00.0000000,,,
TCKT,,15442,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Dịch vụ đăng ký tài khoản & vay vốn online,2023-07-26 00:00:00.0000000,,,
INDIV,HDV&TT,12318,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM LAP NGHIEP,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm lập nghiệp,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TOAN_HANG,,12318,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm lập nghiệp,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm lập nghiệp,2021-01-01 00:00:00.0000000,,,
TCKT,,159,EBANKING,,,,Ebanking,Ebanking,"Combo eMB, Mobile Apps và SMS Banking","Combo eMB, Mobile Apps và SMS Banking",2023-07-26 00:00:00.0000000,,,
TCKT,,12318,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiết kiệm lập nghiệp,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,53121,CHO VAY DAU TU TSCD VA DU AN,CHO VAY MAY MOC THIET BI THONG THUONG,CHO VAY MAY MOC THIET BI THONG THUONG,CHO VAY TDH DAU TU TSCD THONG THUONG,Cho vay đầu tư TSCĐ và dự án,Cho vay máy móc thiết bị thông thường,Cho vay máy móc thiết bị thông thường,Cho vay TDH đầu tư TSCĐ thông thường,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,53121,CHO VAY DAU TU TSCD VA DU AN,CHO VAY MAY MOC THIET BI THONG THUONG,CHO VAY MAY MOC THIET BI THONG THUONG,CHO VAY TDH DAU TU TSCD THONG THUONG,,Cho vay máy móc thiết bị thông thường,Cho vay máy móc thiết bị thông thường,Cho vay TDH đầu tư TSCĐ thông thường,2021-01-01 00:00:00.0000000,,,
CIB,DU_NO,52121,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC PHAT SINH TU UPAS LC - TRA NGAY,,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc phát sinh từ UPAS LC - Trả ngay,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,52121,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC,CHO VAY BAT BUOC PHAT SINH TU UPAS LC - TRA NGAY,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc,Cho vay bắt buộc phát sinh từ UPAS LC - Trả ngay,2021-01-01 00:00:00.0000000,,,
INDIV,BAO LANH,31122,BAO LANH,BAO LANH,BAO LANH THUC HIEN HOP DONG,BAO LANH CHO NGUOI LAO DONG VIET NAM DI LAM VIEC O NUOC NGOAI THEO HOP DONG,Bảo lãnh,Bảo lãnh,Bảo lãnh thực hiện hợp đồng,Bảo lãnh cho người lao động Việt Nam đi làm việc ở nước ngoài theo hợp đồng,2022-03-09 00:00:00.0000000,,INDIV,
TCKT,,15130,SAN PHAM DAU TU,,,,Sản phẩm đầu tư,MBBond ,Sản phẩm đầu tư trái phiếu MBBOND,Sản phẩm đầu tư trái phiếu MBBOND,2023-07-26 00:00:00.0000000,,,
TCKT,,61182,BAO HIEM,,,,Bảo hiểm,MBAL,Mô hình Credit MBAL 10,Mô hình Credit MBAL 10,2023-07-26 00:00:00.0000000,,,
TOAN_HANG,,13211,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Mobile (qua kênh Mobile banking) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Mobile (qua kênh Mobile banking) SP SO,2021-01-01 00:00:00.0000000,,,
NHS,HDV&TT,13211,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM MOBILE (QUA KENH MOBILE BANKING) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Mobile (qua kênh Mobile banking) SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,NHS,TKTK/TGCKH
TCKT,,13211,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiết kiệm Mobile (qua kênh Mobile banking),2023-07-26 00:00:00.0000000,,,
SME,BAO_LANH,31191,BAO LANH,BAO LANH,L/C STAND BY,L/C STAND BY,Bảo lãnh,Bảo lãnh,L/C stand by,L/C stand by,2021-01-01 00:00:00.0000000,,,
CIB,BAO_LANH,31191,BAO LANH,BAO LANH,L/C STAND BY,L/C STAND BY,Bảo lãnh,Bảo lãnh,L/C stand by,L/C stand by,2021-01-01 00:00:00.0000000,,,
TCKT,,15243,HUY DONG,,,,Huy động,Huy động không kỳ hạn,Huy động không kỳ hạn,Thu hộ tiền điện (HCM),2023-07-26 00:00:00.0000000,,,
TCKT,,61141,BAO HIEM,,,,Bảo hiểm,MBAL,Mô hình IC/IRM MBAL 2,Mô hình IC/IRM MBAL 2,2023-07-26 00:00:00.0000000,,,
INDIV,"DAU TU, BAO HIEM, TU VAN, UY THAC DAI LY",61141,SAN PHAM LIEN KET VA UY THAC DAI LY BAO HIEM,DAI LY CUNG CAP SAN PHAM BAO HIEM PHI NHAN THO,BAO HIEM SUC KHOE ,DAI LY CUNG CAP SAN PHAM BAO HIEM SUC KHOE  MIC,Sản phẩm liên kết và ủy thác đại lý bảo hiểm,Đại lý cung cấp sản phẩm bảo hiểm phi nhân thọ,Bảo hiểm sức khỏe ,Đại lý cung cấp sản phẩm bảo hiểm sức khỏe  MIC,2022-03-09 00:00:00.0000000,,INDIV,
TCKT,,61923,DOANH THU KHAC,,,,Doanh thu khác,,Doanh thu phí sản phẩm khác,Dịch vụ đấu thầu trái phiếu,2023-07-26 00:00:00.0000000,,,
TCKT,,163,VIETQR,,,,VietQR,VietQR,VietQR,VietQR,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,22311,CV BĐS,CHO VAY XAY DUNG/SUA CHUA,"CHO VAY XAY DUNG/SUA CHUA NHA DAT, NHA DU AN DE O","CHO VAY XAY DUNG, SUA CHUA NHA DE O",Cho vay bất động sản,Cho vay xây dựng/sửa chữa,"Cho vay xây dựng/sửa chữa nhà đất, nhà dự án để ở","Cho vay xây dựng, sửa chữa nhà để ở",2022-03-09 00:00:00.0000000,CV NHA DAT,INDIV,CV NHA DAT
TCKT,,22311,CHO VAY,,,,Cho vay,CV Nhà đất,CV Nhà đất,"Cho vay xây dựng, sửa chữa nhà để ở",2023-07-26 00:00:00.0000000,,,
TCKT,,61914,DOANH THU KHAC,,,,Doanh thu khác,,Doanh thu phí sản phẩm khác,Dịch vụ giữ hộ vàng,2023-07-26 00:00:00.0000000,,,
TCKT,,22514,CHO VAY,,,,Cho vay,CV Tiêu dùng TSĐB,CV Tiêu dùng TSĐB,Cho vay có TSBĐ cho CB hưởng lương HSNN,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,52312,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,"CHO VAY DONG TAI TRO, UY THAC NGAN HAN (MB THANH VIEN)",,Cho vay đồng tài trợ,Cho vay đồng tài trợ,"Cho vay đồng tài trợ, ủy thác ngắn hạn (MB thành viên)",2021-01-01 00:00:00.0000000,,,
SME,DU_NO,52312,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,CHO VAY DONG TAI TRO,"CHO VAY DONG TAI TRO, UY THAC NGAN HAN (MB THANH VIEN)",Cho vay đồng tài trợ,Cho vay đồng tài trợ,Cho vay đồng tài trợ,"Cho vay đồng tài trợ, ủy thác ngắn hạn (MB thành viên)",2021-01-01 00:00:00.0000000,,,
CIB,HUY_DONG,12125,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,DAU TU SO KY HAN NGAY (QUA EMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so ky han ngay (qua eMB) SP SO,2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,12125,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so ky han ngay (qua eMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so ky han ngay (qua eMB) SP SO,2021-01-01 00:00:00.0000000,,,
SME,HUY_DONG,12125,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,DAU TU SO KY HAN NGAY (QUA EMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so ky han ngay (qua eMB) SP SO,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,12125,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,DAU TU SO KY HAN NGAY (QUA EMB) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Dau tu so ky han ngay (qua eMB) SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TCKT,,21321,CHO VAY,,,,Cho vay,CV Nhà đất,CV Nhà đất,Cho vay tái tài trợ nhà đất SXKD,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,55223,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
SME,DU_NO,55223,TAI TRO THUONG MAI,TAI TRO THUONG MAI - XUAT KHAU,CHO VAY DAM BAO KPT TU BCT XK,CHO VAY DAM BAO KPT TU BCT XK,Tài trợ thương mại,Tài trợ thương mại - xuất khẩu,Cho vay đảm bảo KPT từ BCT XK,Cho vay đảm bảo KPT từ BCT XK,2021-01-01 00:00:00.0000000,,,
TCKT,,118218,THE TIN DUNG,,,,Thẻ tín dụng,Gia han,Thẻ tín dụng gia hạn hạng Classic,Thẻ tín dụng quốc tế VISA gia hạn hạng Classic,2023-07-26 00:00:00.0000000,,,
CIB,BAO_LANH,31111,BAO LANH,BAO LANH,BAO LANH DU THAU,BAO LANH DU THAU,Bảo lãnh,Bảo lãnh,Bảo lãnh dự thầu,Bảo lãnh dự thầu,2021-01-01 00:00:00.0000000,,,
SME,BAO_LANH,31111,BAO LANH,BAO LANH,BAO LANH DU THAU,BAO LANH DU THAU,Bảo lãnh,Bảo lãnh,Bảo lãnh dự thầu,Bảo lãnh dự thầu,2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,12317,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm tích lũy ngoại tệ,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm tích lũy ngoại tệ,2021-01-01 00:00:00.0000000,,,
INDIV,DU NO,24211,CV DT - KD CHUNG KHOAN,CHO VAY CO PHAN HOA,CHO VAY CO PHAN HOA,CHO VAY CO PHAN HOA,Cho vay đầu tư chứng khoán,Cho vay cổ phần hóa,Cho vay cổ phần hóa,Cho vay cổ phần hóa,2022-03-09 00:00:00.0000000,CV CK,INDIV,CV CK
TCKT,,24211,CHO VAY,,,,Cho vay,CV Khác,CV Khác,Cho vay cổ phần hóa,2023-07-26 00:00:00.0000000,,,
INDIV,HDV&TT,12317,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM TICH LUY NGOAI TE,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm tích lũy ngoại tệ,2022-03-09 00:00:00.0000000,TKTK/TGCKH,INDIV,TKTK/TGCKH
TCKT,,12317,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiết kiệm tích lũy kiều hối,2023-07-26 00:00:00.0000000,,,
CIB,DU_NO,51171,CHO VAY VON LUU DONG,CHO VAY VON LUU DONG,CHO VAY VON LUU DONG THONG THUONG,CHO VAY VON LUU DONG THONG THUONG,,Cho vay vốn lưu động,Cho vay vốn lưu động thông thường,Cho vay vốn lưu động thông thường,2021-01-01 00:00:00.0000000,,,
TCKT,,51171,CHO VAY,,,,Cho vay,CV Khác,CV Khác,Cho vay khác,2023-07-26 00:00:00.0000000,,,
SME,DU_NO,51171,CHO VAY VON LUU DONG,CHO VAY VON LUU DONG,CHO VAY VON LUU DONG THONG THUONG,CHO VAY VON LUU DONG THONG THUONG,Cho vay vốn lưu động,Cho vay vốn lưu động,Cho vay vốn lưu động thông thường,Cho vay vốn lưu động thông thường,2021-01-01 00:00:00.0000000,,,
NHS,HDV&TT,13220,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIET KIEM MOBILE (QUA KENH VIETTEL PAY) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Mobile (Qua kênh Viettel Pay) SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,NHS,TKTK/TGCKH
TOAN_HANG,,13220,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Mobile (Qua kênh Viettel Pay) SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiết kiệm Mobile (Qua kênh Viettel Pay) SP SO,2021-01-01 00:00:00.0000000,,,
INDIV,DU NO,22332,CV BĐS,CHO VAY MUA/THUE/THUE MUA/GOP VON NHA DU AN,CHO VAY THUE MUA NHA DU AN,CHO THUE MUA NHA DU AN DE O,Cho vay bất động sản,Cho vay mua/thuê/thuê mua/góp vốn nhà dự án,Cho vay thuê mua nhà dự án,Cho thuê mua nhà dự án để ở,2022-03-09 00:00:00.0000000,CV NHA DU AN,INDIV,CV NHA DU AN
TCKT,,22332,CHO VAY,,,,Cho vay,CV Nhà dự án,CV Nhà dự án,Cho vay thue mua nha du an de o,2023-07-26 00:00:00.0000000,,,
SME,HUY_DONG,11217,TAI KHOAN THANH TOAN,TAI KHOAN KY QUY VA CHUYEN DUNG,TAI KHOAN CHUYEN DUNG,TAI KHOAN CHUYEN DUNG,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản chuyên dùng,Tài khoản chuyên dùng,2021-01-01 00:00:00.0000000,,,
TOAN_HANG,,11217,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản chuyên dùng,Tài khoản chuyên dùng,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản chuyên dùng,Tài khoản chuyên dùng,2021-01-01 00:00:00.0000000,,,
INDIV,"DAU TU, BAO HIEM, TU VAN, UY THAC DAI LY",61331,"SAN PHAM, DICH VU DAU TU",LIEN KET PHAN PHOI CHUNG CHI QUY MO,LIEN KET PHAN PHOI CHUNG CHI QUY MO SSIAM,LIEN KET PHAN PHOI CHUNG CHI QUY MO SSIAM,"Sản phẩm, dịch vụ đầu tư",Liên kết phân phối chứng chỉ quỹ mở,Liên kết phân phối chứng chỉ quỹ mở SSIAM,Liên kết phân phối chứng chỉ quỹ mở SSIAM,2022-03-09 00:00:00.0000000,,INDIV,
CIB,HUY_DONG,11217,TAI KHOAN THANH TOAN,TAI KHOAN KY QUY VA CHUYEN DUNG,TAI KHOAN CHUYEN DUNG,TAI KHOAN CHUYEN DUNG,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản chuyên dùng,Tài khoản chuyên dùng,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,11217,TKTT,TAI KHOAN KY QUY VA CHUYEN DUNG,TAI KHOAN KY QUY,TAI KHOAN CHUYEN DUNG,Tài khoản thanh toán,Tài khoản ký quỹ và chuyên dùng,Tài khoản ký quỹ,Tài khoản chuyên dùng,2022-03-09 00:00:00.0000000,TKTT,INDIV,TKTT
TCKT,,11721,THE TRA TRUOC,,,,Thẻ trả trước,The tra truoc,Thẻ trả trước quốc tế Bankplus Mastercard,Thẻ trả trước quốc tế Bankplus Mastercard,2023-07-26 00:00:00.0000000,,,
NHS,DU NO,26211,CV THE TD,CHO VAY THE TIN DUNG DANH CHO KHCN,CHO VAY THE TIN DUNG QUOC TE DANH CHO KHCN,CHO VAY THE TIN DUNG QUOC TE VISA BANKPLUS (MB VIETTEL) SP SO,Cho vay thẻ tín dụng,Cho vay thẻ tín dụng dành cho KHCN,Cho vay thẻ tín dụng quốc tế dành cho KHCN,Cho vay thẻ tín dụng quốc tế Visa Bankplus (MB Viettel) SP SO,2022-03-09 00:00:00.0000000,CV THE VISA,NHS,CV THE TD
TOAN_HANG,,11592,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHDN,Thẻ ghi nợ nội địa dành cho KHDN,Thẻ ghi nợ nội địa đồng thương hiệu E-Port,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHDN,Thẻ ghi nợ nội địa dành cho KHDN,Thẻ ghi nợ nội địa đồng thương hiệu E-Port,2021-01-01 00:00:00.0000000,,,
SME,HUY_DONG,11592,TAI KHOAN THANH TOAN,THE GHI NO DANH CHO KHCN,THE GHI NO NOI DIA DANH CHO KHDN,THE GHI NO NOI DIA DONG THUONG HIEU E-PORT,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHDN,Thẻ ghi nợ nội địa đồng thương hiệu E-Port,2021-01-01 00:00:00.0000000,,,
CIB,HUY_DONG,11592,TAI KHOAN THANH TOAN,THE GHI NO DANH CHO KHCN,THE GHI NO NOI DIA DANH CHO KHDN,THE GHI NO NOI DIA DONG THUONG HIEU E-PORT,Tài khoản thanh toán,Thẻ ghi nợ dành cho KHCN,Thẻ ghi nợ nội địa dành cho KHDN,Thẻ ghi nợ nội địa đồng thương hiệu E-Port,2021-01-01 00:00:00.0000000,,,
TCKT,,25141,CHO VAY,,,,Cho vay,CV STK,CV STK,Cho vay cầm cố sổ tiết kiệm số,2023-07-26 00:00:00.0000000,,,
